Nome,Semana,Data,Plataforma,Formato,Engajamento,Taxa de Engajamento,Impressoes,Visualizacoes,Likes,Comentarios,Compartilhamentos,VMG,Legenda,Link
Caroline De Toni,4-10 SET/24,7-09-2024,Instagram,Reels,153596,0.1643,233751.0,0.0,149761,3835.0,0.0,163609.07,"A pauta de nossas vidas é a luta incansável para corrigir as injustiças cometidas contra os patriotas presos no dia 8 de janeiro. Precisamos devolver a voz aos que foram silenciados e garantir os direitos fundamentais àqueles que não tiveram sequer a chance de se defender. Entre eles, idosos, mães, pais de família — todos tratados sem o devido processo legal, enfrentando condições piores que criminosos de alta periculosidade. Nossa missão é devolver os pais aos filhos que sofrem a dor da separação. Fazer justiça para essas famílias que, embora não tenham perdido seus entes queridos, vivem a dor de serem “órfãos de pais vivos”. Essas prisões arbitrárias não apenas representam uma afronta à liberdade de expressão e ao direito de se manifestar, mas escancaram o uso político das instituições para reprimir e silenciar. A discussão começa na próxima semana na CCJC. Contamos com o apoio e as orações de todos! ANISTIA JÁ!",https://www.instagram.com/reel/C_ossFvMRQ7/
Caroline De Toni,4-10 SET/24,6-09-2024,Instagram,Foto,53618,0.0574,233562.0,0.0,50494,3124.0,0.0,72760.48,"O governo, que tanto afirma defender as mulheres, só decidiu demitir o ministro após as acusações de assédio se tornarem públicas. Ao menos, desta vez, por não se tratar do filho de Lula agredindo mulheres, a esquerda repudiará as ações de Silvio Almeida. Mas reparem bem como tudo acontece de forma moderada quando os escândalos vêm da esquerda. Se fosse alguém ligado ao Bolsonaro, mesmo que indiretamente, já teria sido duramente criticado em público. Mas é aquela velha história: dois pesos, duas medidas. Gazeta do Povo - tinyurl.com/ykayv4pj O Tempo - tinyurl.com/5ff9j9mn IstoÉ - tinyurl.com/muap38nsMostrar Menos •",https://www.instagram.com/p/C_l4yGtSHZt/
Caroline De Toni,4-10 SET/24,6-09-2024,Instagram,Vídeo,49101,0.0526,233562.0,0.0,46706,2395.0,0.0,63889.5,"TCU Confirma Corrupção na Petrobras: R$ 650 Milhões de Sobrepreço e Propina 🚨 O TCU (Tribunal de Contas da União) confirmou mais um escândalo envolvendo a Petrobras e a Refinaria Abreu e Lima (PE), um desdobramento da Operação Lava Jato. Ex-gestores da estatal e empreiteiras foram condenados por sobrepreço de R$ 650 milhões, incluindo propina em contratos superfaturados. Esse processo se arrastava desde 2016, e agora, o TCU identificou o impacto devastador aos cofres públicos. O Brasil exige justiça e a recuperação do que foi roubado da nossa nação. Não podemos aceitar que esses escândalos fiquem impunes! A quem interessa que esses casos caiam no esquecimento? Poder 360 - tinyurl.com/55awuu36 Revista Oeste - tinyurl.com/3337ts45 Epoch Times - tinyurl.com/495wxv93Mostrar Menos •",https://www.instagram.com/p/C_lwfYWSyP_/
Chris Tonietto,4-10 SET/24,4-09-2024,Instagram,Reels,3328,0.0149,55915.0,0.0,3218,110.0,0.0,4878.72,"Que alegria é para mim poder auxiliar, via emenda parlamentar, uma iniciativa que marcou a minha caminhada como cristã, e que tem feito bem a tantos dependentes químicos! Há mais de 20 anos, a Comunidade Católica Maranathá tem resgatado vidas do mundo das drogas, e devolvido a dignidade de muitas pessoas, por meio de um trabalho completo nos planos físico, psicológico e espiritual. Que Deus continue abençoando esse projeto tão bonito, e que a Maranathá possa inspirar muitas outras iniciativas semelhantes! Vamos livrar o Brasil do vício das drogas!",https://www.instagram.com/reel/C_gEJtFtv85/
Chris Tonietto,4-10 SET/24,7-09-2024,Instagram,Foto,3215,0.0144,55895.0,0.0,3196,19.0,0.0,4158.65,"A independência de um povo não se conquista de uma vez para sempre: é uma batalha de todos os dias, de afirmarmos nossa soberania, nossos valores e nossa liberdade, e resistirmos sempre aos candidatos a tiranos da vez. Há 202 anos, às margens do rio Ipiranga, bradou um grito de liberdade. Seria muito triste se perdêssemos agora o que tantas gerações lutaram para preservar. Aqueles que rasgam a nossa Constituição Federal, desrespeitam a democracia brasileira e atacam a nossa liberdade merecem nada menos que o impeachment. Não há independência sem liberdade!",https://www.instagram.com/p/C_oEhyOJJbD/
Eduardo Bolsonaro,4-10 SET/24,7-09-2024,Instagram,Reels,467110,0.0794,1000204.0,0.0,450429,16681.0,0.0,528427.25,Que ser muito mal intencionado para chamar isso de democracia.,https://www.instagram.com/reel/C_oJwSsvFVH/
Eduardo Bolsonaro,4-10 SET/24,7-09-2024,Instagram,Reels,344596,0.0586,1000204.0,0.0,336339,8257.0,0.0,375445.05,0,https://www.instagram.com/reel/C_n9DYwvZAh/
Eduardo Bolsonaro,4-10 SET/24,10-09-2024,Instagram,Foto,201684,0.0342,1002221.0,0.0,190018,11666.0,0.0,275903.9,Que ser muito mal intencionado para chamar isso de democracia.,https://www.instagram.com/p/C_vk7KpRsh0/
Gustavo Gayer,4-10 SET/24,7-09-2024,Instagram,Reels,211750,0.1024,351409.0,0.0,142033,69717.0,0.0,666914.64,Qual palavra você usaria para descrever esse turma ?,https://www.instagram.com/reel/C_nfkyAuUeP/
Gustavo Gayer,4-10 SET/24,7-09-2024,Instagram,Reels,211642,0.1024,351409.0,0.0,202481,9161.0,0.0,252618.72,Meu discurso na Paulista - 07 de setembro de 2024,https://www.instagram.com/reel/C_oGh7SJSbN/
Gustavo Gayer,4-10 SET/24,6-09-2024,Instagram,Reels,152686,0.0739,351029.0,0.0,148092,4594.0,0.0,170669.69,O governo mais impressionante que o Brasil já viu.,https://www.instagram.com/reel/C_lSpL8OxSd/
Josimar de Maranhãozinho,4-10 SET/24,4-09-2024,Instagram,Reels,985,0.0083,29707.0,0.0,939,46.0,0.0,1833.42,"Em São João do Caru, só dá amarelinho! 💛 Grande comício do 2️⃣2️⃣, ao lado do nosso prefeito petecaoficiall, garantindo a continuação de um excelente trabalho.",https://www.instagram.com/reel/C_f1sWoOATS/
Josimar de Maranhãozinho,4-10 SET/24,8-09-2024,Instagram,Reels,787,0.0066,29746.0,0.0,734,53.0,0.0,1711.9,Reunião com nosso próximo prefeito de Vargem Grande diegaodamadeireira no povoado de Morada Nova. Esperança para mudança!,https://www.instagram.com/reel/C_rIuY1OSqq/
Josimar de Maranhãozinho,4-10 SET/24,8-09-2024,Instagram,Reels,644,0.0054,29746.0,0.0,628,16.0,0.0,1335.84,"Carreata da nossa prefeita ducilenebelezinha, rumo à reeleição em Chapadinha! A força do povo está com quem trabalha e faz a diferença. Vamos juntos por mais conquistas!",https://www.instagram.com/reel/C_qm62luni0/
Nikolas Ferreira,4-10 SET/24,7-09-2024,Instagram,Reels,1273525,0.1105,1959867.0,0.0,1217439,56086.0,0.0,1523172.33,"Ou ficar a pátria livre, ou morrer pelo Brasil.",https://www.instagram.com/reel/C_oSYLIp0yC/
Nikolas Ferreira,4-10 SET/24,9-09-2024,Instagram,Reels,690820,0.0599,1962183.0,0.0,673171,17649.0,0.0,759189.32,Respondendo um boca aberta sobre democracia.,https://www.instagram.com/reel/C_tl_sRJ1CT/
Nikolas Ferreira,4-10 SET/24,5-09-2024,Instagram,Reels,647840,0.0562,1957922.0,0.0,634048,13792.0,0.0,695748.3,Eu avisei: a fala aveludada não engana ninguém.,https://www.instagram.com/reel/C_jRZnmJJeM/
