Nome,Semana,Link,Data,Plataforma,Formato,Engajamento,Taxa de Engajamento,Impressoes,Visualizacoes,Likes,Comentarios,Compartilhamentos,VMG
Eduardo Bolsonaro,14-20 MAR/24,https://twitter.com/user/status/1768649462660964510,15-03-2024,Twitter,Link,5594,0.0207,270796.0,0.0,4422,0.0,1172.0,13996.85
Eduardo Bolsonaro,14-20 MAR/24,https://twitter.com/user/status/1768570777748525474,15-03-2024,Twitter,Link,21176,0.0782,270796.0,0.0,16728,0.0,4448.0,39759.23
Eduardo Bolsonaro,14-20 MAR/24,https://www.instagram.com/p/C4mO2NNLJmE/,16-03-2024,Instagram,Foto,46450,0.0081999999999999,967108.0,0.0,42965,3485.0,0.0,85650.71
Eduardo Bolsonaro,14-20 MAR/24,https://www.instagram.com/p/C4l8i1ePris/,16-03-2024,Instagram,Foto,14133,0.0025,967036.0,0.0,13954,179.0,0.0,35243.42
Eduardo Bolsonaro,14-20 MAR/24,https://twitter.com/user/status/1769127415014469653,16-03-2024,Twitter,Foto,12647,0.0467,270823.0,0.0,10626,0.0,2021.0,23718.8
Eduardo Bolsonaro,14-20 MAR/24,https://twitter.com/user/status/1769126658089357823,16-03-2024,Twitter,Foto,1715,0.0063,270823.0,0.0,1495,0.0,220.0,7166.42
Eduardo Bolsonaro,14-20 MAR/24,https://twitter.com/user/status/1769118109648998882,16-03-2024,Twitter,Link,4664,0.0172,270823.0,0.0,3677,0.0,987.0,12491.93
Eduardo Bolsonaro,14-20 MAR/24,https://twitter.com/user/status/1769094001360068897,16-03-2024,Twitter,Foto,11013,0.0407,270823.0,0.0,9105,0.0,1908.0,21722.68
Eduardo Bolsonaro,14-20 MAR/24,https://www.youtube.com/watch?v=a3R3EzJrA3k,16-03-2024,YouTube,Vídeo,6415,0.3436,0.0,18671.0,5961,454.0,0.0,27551.08
Eduardo Bolsonaro,14-20 MAR/24,https://twitter.com/user/status/1769068549417443552,16-03-2024,Twitter,Foto,8160,0.0301,270823.0,0.0,6382,0.0,1778.0,18443.35
Eduardo Bolsonaro,14-20 MAR/24,https://twitter.com/user/status/1769066974888202574,16-03-2024,Twitter,Foto,23243,0.0858,270823.0,0.0,18386,0.0,4857.0,43098.92
Eduardo Bolsonaro,14-20 MAR/24,https://www.instagram.com/reel/C4lb8guRFPb/,16-03-2024,Instagram,Reels,79911,0.0139999999999999,967036.0,0.0,76579,3332.0,0.0,113379.02
Eduardo Bolsonaro,14-20 MAR/24,https://www.instagram.com/reel/C4kwhkvrYIG/,16-03-2024,Instagram,Reels,50669,0.0089,967036.0,0.0,46933,3736.0,0.0,90994.26
Eduardo Bolsonaro,14-20 MAR/24,https://twitter.com/user/status/1769512947405967714,17-03-2024,Twitter,Link,10178,0.0375999999999999,270850.0,0.0,8321,0.0,1857.0,20723.74
Eduardo Bolsonaro,14-20 MAR/24,https://twitter.com/user/status/1769476749824303253,17-03-2024,Twitter,Foto,20832,0.0768,270850.0,0.0,16065,0.0,4767.0,40368.68
Eduardo Bolsonaro,14-20 MAR/24,https://www.instagram.com/p/C4n-MZCLewn/,17-03-2024,Instagram,Carrossel,215525,0.0379,967108.0,0.0,208638,6887.0,0.0,254324.89
Eduardo Bolsonaro,14-20 MAR/24,https://twitter.com/user/status/1769382283012686229,17-03-2024,Twitter,Link,7414,0.0274,270850.0,0.0,6280,0.0,1134.0,15719.72
Eduardo Bolsonaro,14-20 MAR/24,https://www.instagram.com/reel/C4neB05r6TZ/,17-03-2024,Instagram,Reels,227660,0.04,967108.0,0.0,213466,14194.0,0.0,314740.87
Eduardo Bolsonaro,14-20 MAR/24,https://twitter.com/user/status/1769888916889354375,18-03-2024,Twitter,Link,3290,0.0121,270904.0,0.0,2674,0.0,616.0,9970.35
Eduardo Bolsonaro,14-20 MAR/24,https://twitter.com/user/status/1769829685850964165,18-03-2024,Twitter,Link,11334,0.0418,270877.0,0.0,8946,0.0,2388.0,23516.64
Eduardo Bolsonaro,14-20 MAR/24,https://www.instagram.com/p/C4q3E6PP8hU/,18-03-2024,Instagram,Foto,43977,0.0077,967179.0,0.0,41816,2161.0,0.0,74469.38
Eduardo Bolsonaro,14-20 MAR/24,https://www.youtube.com/watch?v=rl6-Ys1Bi-E,19-03-2024,YouTube,Vídeo,3563,0.4393999999999999,0.0,8109.0,3264,299.0,0.0,15208.11
