Nome,Data,Plataforma,Total de Posts,Engajamento Total,Engajamento Médio,Taxa de Engajamento,VMG
Bia Kicis,4-10 SET/24,Instagram,51.0,2919490,50336.0,0.051,4059483.32
Bia Kicis,4-10 SET/24,TikTok,0.0,2919490,50336.0,0.051,4059483.32
Bia Kicis,4-10 SET/24,X,1.0,2919490,50336.0,0.051,4059483.32
Bia Kicis,4-10 SET/24,YouTube,6.0,2919490,50336.0,0.051,4059483.32
Caroline De Toni,4-10 SET/24,Total,14.0,504024,36001.7,0.05,622573.18
Caroline De Toni,4-10 SET/24,Instagram,13.0,504024,36001.7,0.05,622573.18
Caroline De Toni,4-10 SET/24,TikTok,1.0,504024,36001.7,0.05,622573.18
Caroline De Toni,4-10 SET/24,X,0.0,504024,36001.7,0.05,622573.18
Caroline De Toni,4-10 SET/24,YouTube,0.0,504024,36001.7,0.05,622573.18
Chris Tonietto,4-10 SET/24,Total,2.0,6543,3271.5,0.0146,9037.37
Chris Tonietto,4-10 SET/24,Instagram,2.0,6543,3271.5,0.0146,9037.37
Chris Tonietto,4-10 SET/24,TikTok,0.0,6543,3271.5,0.0146,9037.37
Chris Tonietto,4-10 SET/24,X,0.0,6543,3271.5,0.0146,9037.37
Chris Tonietto,4-10 SET/24,YouTube,0.0,6543,3271.5,0.0146,9037.37
Eduardo Bolsonaro,4-10 SET/24,Total,38.0,2213611,58252.9,0.0489,3149553.61
Eduardo Bolsonaro,4-10 SET/24,Instagram,15.0,2213611,58252.9,0.0489,3149553.61
Eduardo Bolsonaro,4-10 SET/24,TikTok,0.0,2213611,58252.9,0.0489,3149553.61
Eduardo Bolsonaro,4-10 SET/24,X,19.0,2213611,58252.9,0.0489,3149553.61
Eduardo Bolsonaro,4-10 SET/24,YouTube,4.0,2213611,58252.9,0.0489,3149553.61
Gustavo Gayer,4-10 SET/24,Total,95.0,5104480,53731.4,0.0977,13366969.85
Gustavo Gayer,4-10 SET/24,Instagram,57.0,5104480,53731.4,0.0977,13366969.85
Gustavo Gayer,4-10 SET/24,TikTok,2.0,5104480,53731.4,0.0977,13366969.85
Gustavo Gayer,4-10 SET/24,X,5.0,5104480,53731.4,0.0977,13366969.85
Gustavo Gayer,4-10 SET/24,YouTube,31.0,5104480,53731.4,0.0977,13366969.85
Josimar Maranhãozinho,4-10 SET/24,Total,10.0,4516,451.6,0.0038,12372.3
Josimar Maranhãozinho,4-10 SET/24,Instagram,10.0,4516,451.6,0.0038,12372.3
Josimar Maranhãozinho,4-10 SET/24,TikTok,0.0,4516,451.6,0.0038,12372.3
Josimar Maranhãozinho,4-10 SET/24,X,0.0,4516,451.6,0.0038,12372.3
Josimar Maranhãozinho,4-10 SET/24,YouTube,0.0,4516,451.6,0.0038,12372.3
Nikolas Ferreira,4-10 SET/24,Total,51.0,5954131,116747.7,0.059,8214225.29
Nikolas Ferreira,4-10 SET/24,Instagram,6.0,5954131,116747.7,0.059,8214225.29
Nikolas Ferreira,4-10 SET/24,TikTok,6.0,5954131,116747.7,0.059,8214225.29
Nikolas Ferreira,4-10 SET/24,X,38.0,5954131,116747.7,0.059,8214225.29
Nikolas Ferreira,4-10 SET/24,YouTube,1.0,5954131,116747.7,0.059,8214225.29
